v1 v2 v3 J Ka Kc      E                U           n1     n2       r
   0 6 0 1 0 1      8893.5227612185    2.052e-02      1     1       U 
   2 1 0 3 0 3      8894.0334969954    1.343e-04     30    10       R+
   1 0 0 19 7 12    8894.2486084072    2.216e-03     27     7       R-
   0 0 1 18 9 9     8894.3474886048    1.403e-03     33    10       R-
   0 2 0 23 1 22    8894.6747331212    1.898e-03     43    12       R-
   0 2 0 23 2 22    8894.6876378688    4.073e-03     11     5       R-
   1 0 1 10 5 6     8894.9585681893    1.864e-04     50    24       R+
   0 5 0 11 1 11    8895.2818664100    1.892e-03     10     7       R+
   0 4 0 14 2 12    8896.8312020533    2.990e-04     25    13       R-
   0 1 0 24 4 20    8897.8418369558    3.377e-03     14     9       R-
   1 1 0 13 10 4    8898.0846948003    3.810e-04     29     7       R+
   1 1 0 13 10 3    8898.0848731094    1.820e-04     29    15       R-
   0 1 0 24 5 20    8898.5678288235    2.058e-03     28     9       R-
   0 3 0 17 4 13    8899.1812262457    3.245e-04     38    11       R-
   2 1 0 2 2 1      8899.8355623483    1.196e-04     39    12       R+
   2 1 0 3 1 3      8900.4984206735    1.085e-03     24     7       R-
   0 5 0 9 2 7      8901.0694744191    9.481e-04     23    10       R-
   0 0 0 21 17 5    8901.5061108061    2.720e-03     25     5       R-
   0 0 0 21 17 4    8901.5061108061    2.720e-03     25    10       R-
   1 0 1 10 5 5     8901.9912028025    1.176e-04     77    24       R+
   2 1 0 2 2 0      8902.6972356523    1.211e-04     25     8       R+
   1 1 1 2 1 1      8903.4962678774    1.851e-04     45    14       R+
   0 1 0 23 6 17    8905.2214519408    1.511e-03     22     8       R-
   0 5 0 5 5 1      8906.9223659207    1.002e-03     14     9       R-
   0 5 0 5 5 0      8906.9225388538    1.648e-04     25    13       R+
   2 0 0 12 1 11    8909.0519912992    1.775e-04     24    15       R+
   2 0 0 12 2 11    8909.8167040493    1.343e-04     43    20       R+
   0 4 0 13 4 9     8911.5079928865    2.014e-04     28     9       R-
   2 0 0 8 8 1      8912.7347822652    1.557e-04     41    22       R+
   2 0 0 8 8 0      8912.7347952652    1.123e-04     36    16       R+
   0 0 1 15 14 1    8913.5565735547    1.437e-03     26     6       R-
   0 0 1 15 14 2    8913.5565795547    1.431e-03     26    10       R-
   1 1 0 15 7 9     8915.9118854427    5.597e-04      9     6       R-
   0 0 1 22 2 21    8916.2519481864    1.872e-03     26     7       R-
   0 0 1 22 1 21    8916.2580641864    2.734e-03     37    12       R-
   0 4 0 15 1 14    8916.7117304747    1.583e-04     29    10       R-
   1 3 0 6 2 4      8917.0913429323    5.040e-04     29    14       R-
   0 0 2 11 1 10    8918.2812130374    1.174e-04     37    15       R+
   1 1 0 15 7 8     8918.3197442257    4.216e-04     27    11       R-
   0 2 1 13 2 12    8918.4369979824    3.451e-04     66    20       R+
   0 0 2 11 2 10    8918.5139362806    1.337e-04     18    10       R+
   0 2 1 13 1 12    8918.6486194511    2.684e-04     32    14       R-
   0 4 0 15 2 14    8918.8976328806    1.827e-03      8     5       R-
   0 4 0 14 3 12    8919.7188191810    1.090e-04     29    14       R-
   0 1 1 19 0 19    8920.2162791224    2.919e-04     31     6       R-
   0 1 1 19 1 19    8920.2169832613    1.787e-04     41    16       R-
   0 4 0 9 8 2      8921.8521504844    1.779e-04     17     8       R+
   0 4 0 9 8 1      8921.8522044844    1.365e-04     16    13       R+
   0 1 0 22 9 14    8922.5061878902    1.577e-03     28     8       R-
   0 5 0 7 4 4      8924.0145775119    1.228e-03     11     6       R-
   0 5 0 7 4 3      8924.5505212677    2.305e-04     24    10       R-
   1 2 0 12 3 9     8925.5745171765    1.178e-04      7     5       R+
   0 0 2 8 7 1      8926.5274971776    8.591e-04     28    13       R+
   0 0 2 8 7 2      8926.5278168943    2.104e-04     35    18       R+
   0 1 0 22 9 13    8928.2736097122    3.516e-03     13     5       R-
   0 1 1 12 11 2    8929.3780556826    1.553e-04     35    12       R-
   0 1 1 12 11 1    8929.3780556826    1.548e-04     35    17       R-
   1 3 0 4 4 1      8929.4457506449    1.612e-04     33    13       R+
   1 3 0 4 4 0      8929.4509889134    3.110e-03     23    10       R+
   0 1 1 18 2 17    8933.1243061657    2.789e-04     14     7       R-
   0 1 1 18 1 17    8933.1259317884    2.236e-04     48    12       R-
   2 1 0 3 1 2      8933.2046671961    1.312e-04     34    11       R-
   0 1 0 19 14 5    8933.5648768387    2.120e-03     22     7       R-
   0 1 0 19 14 6    8933.5674505773    4.039e-03     18     4       R-
   0 0 1 19 7 13    8934.8382080265    1.045e-03     35    10       R-
   2 0 0 9 7 3      8935.2714889787    1.002e-04     29    14       R+
   2 0 0 9 7 2      8935.2847524370    1.331e-04     50    22       R-
   0 0 1 17 11 7    8937.1219225406    3.089e-03     29    14       R-
   0 0 1 17 11 6    8937.1222808919    1.385e-03     28    11       R-
   0 3 1 6 1 5      8938.6829957136    4.297e-04     66    22       R+
   0 6 0 2 0 2      8939.9540332237    1.892e-03      2     1       R-
   1 1 1 3 0 3      8939.9622971145    1.062e-04     41    12       R-
   2 0 0 13 1 13    8940.5510699717    3.330e-04     34    19       R+
   2 0 0 13 0 13    8940.5516272390    1.531e-04     45    19       R-
   0 0 2 10 3 7     8940.5928803662    1.019e-04     21    11       R+
   0 2 0 19 8 12    8941.4045994661    8.137e-03     16     7       R-
   1 0 1 8 8 1      8943.3965495518    5.379e-04     46    16       R+
   1 0 1 8 8 0      8943.3969655425    1.508e-04     49    21       R+
   0 0 1 23 1 23    8944.5827367931    1.756e-03     39    13       R-
   0 0 1 23 0 23    8944.5862051330    2.534e-03     33     5       R-
   1 1 1 2 2 1      8944.6312195290    1.574e-04     29    10       R-
   1 1 1 3 1 3      8945.6619033046    1.604e-04     55    14       R+
   1 1 1 2 2 0      8945.9634738641    1.299e-04     34    11       R+
   0 2 0 19 8 11    8946.0759622296    1.650e-03     16     6       R-
   0 1 0 23 7 17    8946.4081153050    3.156e-03      8     5       R-
   0 1 0 17 17 0    8948.0015905917    5.275e-03     17    11       R-
   0 1 0 17 17 1    8948.0015905917    5.275e-03     17     3       R-
   0 3 0 14 9 5     8949.9500942966    6.586e-04     17     7       R-
   0 3 0 14 9 6     8949.9501102966    6.766e-04     28    15       R-
   0 0 2 12 0 12    8953.1551618787    3.461e-04     26    12       R-
   0 0 2 12 1 12    8953.1597245746    2.037e-04     34    21       R-
   0 3 1 7 0 7      8953.4248681781    1.616e-04     45    20       R+
   2 0 0 11 3 8     8954.0778470656    1.688e-04     57    19       R+
   0 3 1 7 1 7      8954.7148785130    1.111e-04     75    22       R+
   0 2 1 11 5 7     8958.3966911591    1.192e-04     79    25       R+
   0 0 1 20 4 16    8958.9806296305    5.582e-04     38    10       R-
   0 0 1 20 5 16    8959.4678425812    2.269e-03     17     9       R-
   1 0 1 12 1 11    8960.7879699166    1.292e-04     58    24       R+
   1 0 1 9 7 2      8961.0182747786    1.619e-04     40    19       R+
   1 0 1 9 7 3      8961.0594562941    1.959e-04     67    25       R+
   1 0 1 12 2 11    8961.1354371480    1.501e-04     41    18       R+
   0 1 1 16 4 12    8961.5705252773    1.332e-04     60    17       R-
   0 3 1 5 3 3      8964.0531634117    1.167e-04     69    20       R+
   0 2 1 11 5 6     8965.4070318431    1.495e-04     47    20       R+
   0 3 1 6 2 5      8966.7910057216    1.770e-04     49    20       R+
   0 3 1 5 3 2      8967.0962974092    1.714e-04     46    19       R+
   0 0 2 10 4 7     8968.6539605858    1.902e-04     61    20       R+
   2 1 0 3 2 2      8969.7585636268    1.023e-04     33    10       R+
   1 2 0 12 4 9     8969.9454675329    1.136e-04     29    15       R+
   0 1 0 21 11 11   8972.7925503107    2.549e-03     10     4       R-
   0 1 0 21 11 10   8972.8361263215    2.422e-03     16     7       R-
   2 0 0 11 4 8     8975.0919754862    1.891e-04     33    14       R+
   0 3 0 17 5 13    8975.3933540948    3.271e-04     12     4       R-
   2 1 0 4 0 4      8976.3016604694    1.226e-04     23     9       R-
   2 1 0 3 2 1      8976.5483017144    1.233e-04     43    12       R-
   0 1 1 16 5 12    8979.4959903902    1.180e-04     34    14       R+
   2 1 0 4 1 4      8979.6573506963    5.078e-04     39    10       R+
   1 1 1 3 1 2      8979.6729536782    5.361e-04     35    10       R-
   0 0 0 20 19 1    8979.8778745617    4.629e-03     16     3       R-
   0 0 0 20 19 2    8979.8778745617    4.629e-03     16     7       R-
   0 5 0 10 1 9     8983.1633740735    5.047e-04      5     4       R-
   0 2 0 17 11 6    8983.2904518775    1.993e-03     17     7       R-
   0 2 0 17 11 7    8983.3098210183    4.002e-03      6     3       R+
   1 0 0 16 13 3    8987.6536549554    2.168e-03     24     4       R-
   1 0 0 16 13 4    8987.6536799554    2.172e-03     24    11       R-
   0 1 1 15 7 9     8990.0897262771    9.461e-05     59    19       R-
   0 1 1 13 10 4    8990.2544157295    3.521e-04     45    20       R-
   0 1 1 13 10 3    8990.2545037295    3.740e-04     43    12       R-
   1 1 0 16 5 11    8990.5069318713    9.576e-04      8     7       R-
   1 0 1 13 1 13    8993.4632813923    1.916e-04     58    24       R+
   1 0 1 13 0 13    8993.4633413923    1.221e-04     47    21       R+
   0 0 2 9 6 4      8994.4621088918    1.527e-04     35    17       R+
   0 1 1 15 7 8     8994.4836061632    3.566e-04     25    15       R-
   0 0 1 19 7 12    8994.5786766615    2.647e-03     16     6       R-
   0 0 2 9 6 3      8994.6889124165    1.672e-04     53    21       R+
   0 0 0 24 12 13   8998.3651539005    2.636e-03     28     8       R-
   0 0 0 24 12 12   8998.4696025642    4.926e-03     15     8       R-
   0 3 0 12 11 2    8998.7333725694    5.719e-04     18    11       R+
   0 3 0 12 11 1    8998.7333735694    5.717e-04     17     6       R+
   0 1 2 0 0 0      9000.1374213113    1.436e-03      6     6       R+
   2 0 0 10 6 4     9000.6619953759    1.948e-04     22    11       R+
   0 2 0 20 6 14    9000.9846368637    2.749e-03      9     5       R-
   0 0 0 28 4 25    9001.7320248014    1.956e-03     32    12       R-
   0 0 0 28 3 25    9001.7320638966    1.928e-03     22     8       R-
   1 3 0 7 1 6      9003.7458684011    1.216e-04     42    18       R+
   2 0 0 10 6 5     9003.9693766182    1.562e-04     57    22       R+
   1 3 0 8 0 8      9004.7011382666    8.334e-04     27    14       R+
   0 3 0 13 10 4    9005.4189181596    1.279e-04     19     6       R+
   0 3 0 13 10 3    9005.4189641596    1.668e-04     19    10       R+
   1 3 0 8 1 8      9006.0338692006    3.540e-04     43    17       R+
   0 3 1 4 4 1      9006.5901552074    9.350e-04     22    11       R-
   0 3 1 4 4 0      9006.6011587108    1.369e-04     40    13       R+
   1 0 1 11 3 8     9007.8302332026    1.714e-04     44    21       R+
   0 6 0 3 0 3      9008.7377779150    1.612e-03      3     2       R-
   1 1 1 3 2 2      9014.0199929673    1.558e-04     61    13       R+
   0 3 1 6 2 4      9014.0726901129    1.241e-04     64    20       R+
   0 3 0 15 8 8     9015.5013404536    1.023e-03      7     6       R-
   0 3 0 15 8 7     9015.6009081336    8.500e-04     30    13       R-
   0 0 2 10 4 6     9016.2283604321    1.581e-04     40    17       R+
   1 1 1 3 2 1      9020.1734851789    1.047e-04     46     9       R+
   1 3 0 6 3 4      9021.0711565897    1.618e-04     62    18       R-
   1 1 1 4 0 4      9022.3345604085    1.830e-04     60    15       R+
   1 0 1 11 4 8     9022.4926243857    1.788e-04     75    25       R+
   0 1 2 1 0 1      9023.4884191283    2.747e-04     16     9       R-
   0 5 0 10 2 9     9023.9956428135    6.452e-04     24    10       R-
   1 1 1 4 1 4      9025.1504034758    3.235e-04     43    12       R+
   1 3 0 6 3 3      9025.9370302482    1.819e-04     24     9       R+
   0 2 1 12 3 9     9025.9562356702    1.754e-04     74    25       R+
   1 0 0 21 3 18    9026.3421753910    2.915e-03     27     8       R-
   1 0 0 21 4 18    9026.4692276353    4.977e-03      8     6       R-
   1 3 0 7 2 6      9027.2179422884    7.021e-04     26    11       R-
   1 0 0 18 10 9    9027.4321754359    2.220e-03     24    10       R-
   1 0 0 18 10 8    9027.4629473751    7.677e-03     16     7       R-
   1 1 0 17 3 14    9027.6314412881    1.746e-04     31    11       R-
   0 0 0 25 10 16   9030.8740271653    3.787e-03     10     4       R-
   1 2 0 12 4 8     9032.3825933047    2.552e-04      8     8       R+
   2 1 0 4 1 3      9033.0263368686    1.786e-04     24     9       R-
   1 0 1 10 6 5     9035.6972780485    1.265e-04     34    18       R+
   2 0 0 11 4 7     9035.7535539763    1.849e-04     41    18       R+
   1 0 1 10 6 4     9035.7850538687    1.355e-04     67    26       R+
   1 1 0 17 4 14    9036.5811221651    3.414e-03      5     5       R-
   0 1 2 1 1 1      9037.1980765159    1.104e-04     17     9       R-
   0 0 0 23 14 10   9038.0837559352    2.547e-03     20     7       R-
   0 0 0 23 14 9    9038.0842727782    2.477e-03     30    11       R-
   0 6 0 2 1 2      9038.7650575827    4.007e-03      5     3       R-
   0 3 0 21 0 21    9038.8333640053    1.261e-03     29     7       R-
   0 3 0 21 1 21    9038.9224074852    3.679e-03      8     5       R-
   0 0 0 25 10 15   9041.3726068236    2.047e-03     25     8       R-
   0 0 1 16 13 3    9041.6374012241    1.406e-03     31    11       R-
   0 0 1 16 13 4    9041.6374072241    1.409e-03     30     4       R-
   0 1 2 1 1 0      9042.8370705511    1.589e-04     21    12       R-
   1 3 0 5 4 2      9049.7137392641    8.346e-04     20     7       R-
   1 3 0 5 4 1      9049.7797534388    3.748e-04     35    13       R+
   1 1 0 14 9 6     9049.9597638345    2.865e-04     26    14       R-
   1 1 0 14 9 5     9049.9634481271    2.875e-04     17     7       R-
   1 2 0 10 7 4     9049.9765985330    1.799e-04     36    20       R+
   1 2 0 10 7 3     9049.9837309065    1.023e-04     17    13       R+
   1 0 0 19 8 12    9050.6234146123    2.439e-03     11     6       R-
   0 5 0 6 5 2      9054.2856840924    4.809e-04     26    12       R+
   0 5 0 6 5 1      9054.3628796337    1.612e-03     13     6       R+
   1 0 0 19 8 11    9057.3019638322    1.898e-03     18     5       R-
   2 1 0 3 3 1      9057.7659106307    2.090e-04     18     7       R-
   2 1 0 3 3 0      9057.9231400238    3.373e-04     41    12       R+
   1 2 0 13 2 11    9058.0466885110    4.133e-04     20     8       R+
   0 6 0 2 1 1      9058.3655176467    2.284e-02      2     1       R-
   1 2 0 13 3 11    9058.5233700995    1.508e-04      8     7       R+
   1 2 0 9 8 2      9059.1447463671    1.765e-04     21    15       R+
   1 2 0 9 8 1      9059.1448293671    1.340e-04     25    16       R-
   0 5 0 9 3 7      9059.1557863819    1.438e-03     12     7       R+
   1 2 0 15 0 15    9059.4999327265    1.959e-04     15     8       R-
   1 2 0 15 1 15    9059.5707034057    5.851e-04      5     5       R-
   2 1 0 4 2 3      9061.1523944064    1.017e-04     42    14       R+
   0 1 0 25 3 22    9062.9715662742    2.694e-03     27     9       R-
   0 1 0 25 4 22    9063.0824708513    2.855e-03     17     9       R-
   0 2 1 12 4 9     9064.0469564627    1.621e-04     34    16       R+
   0 3 0 17 5 12    9067.0812363783    4.336e-04     21     6       R-
   0 1 2 2 0 2      9068.7501868151    5.082e-04     17     9       R-
   1 0 0 20 5 15    9070.3487748702    3.640e-03      6     3       R-
   1 1 0 16 6 11    9074.9028530732    5.039e-04     31    11       R-
   2 1 0 5 0 5      9075.6029452469    2.060e-04     37    10       R-
   0 1 0 23 7 16    9076.1037358907    1.908e-03     27    10       R-
   0 0 2 11 3 9     9076.5775518625    1.896e-04     44    19       R+
   2 1 0 5 1 5      9077.1758100725    2.346e-04     25    10       R-
   2 1 0 4 2 2      9077.3572335739    8.185e-04     33    12       R-
   0 1 2 2 1 2      9078.2811517250    5.017e-04     22    10       R-
   0 1 1 14 9 6     9079.3928554102    1.638e-04     20    11       R+
   0 1 1 14 9 5     9079.4024795653    1.831e-04     52    18       R-
   1 1 1 4 1 3      9079.7160754176    3.221e-04     58    13       R+
   0 0 2 11 2 9     9079.8541832555    1.607e-04     30    16       R+
   0 2 0 21 4 17    9080.8889331212    1.509e-03     34    11       R-
   0 5 0 9 3 6      9081.6106655883    5.000e-04     19     9       R-
   1 2 0 11 6 6     9082.1891212622    1.796e-04     16    13       R+
   1 0 0 20 6 15    9083.0853311051    2.709e-03     18     7       R-
   1 2 0 11 6 5     9083.3936826882    1.164e-04     34    18       R+
   0 4 0 14 3 11    9083.7771444386    5.109e-04      1     1       U 
